Q,Option1,Option2,Option3,Option4,Correct
"What distinguishes desktop and mobile variants of a platform?","Identical power and thermal limits","Mobile parts are designed for lower power and thermal envelopes; desktop parts target higher performance and more slots","Mobile always has more PCIe slots","Desktop cannot use Ethernet",2
"What is a sound card as an expansion card?","A card providing additional or higher-quality audio inputs/outputs","A storage controller only","A network adapter only","A capture card",1
"What is a video card (graphics card)?","An add-in card providing graphics processing and display outputs via PCI Express x16","A sound interface","A TPM module","A SATA power splitter",1
"What is a capture card?","An add-in that ingests video/audio signals for recording or streaming","A storage drive","A CPU cooler","A firewall",1
"What is a network interface card (NIC)?","A card that provides Ethernet or other network connectivity","A speaker amplifier","A USB hub","A power adapter",1
"What is the role of fans in cooling?","Provide mechanical storage","Move air to remove heat from components and heat sinks","Store encryption keys","Improve audio quality",2
"What is a heat sink?","A cryptographic device","A thermal mass with fins that draws heat from a component, often with a fan","A network firewall","A storage controller",2
"What do thermal paste or thermal pads do?","Increase electrical conductivity","Fill microscopic gaps to conduct heat between a component and a heat sink","Provide insulation","Seal against dust",2
"What characterizes liquid cooling?","Uses a pumped coolant and radiator to transfer heat away from components","Cools using only passive airflow","Is required for all CPUs","Replaces the need for a heat sink",1
"A new graphics card is not detected after installation. Which motherboard slot should it use for best performance?","PCI Express x1","PCI Express x16","PCI legacy slot","M.2",2
"A system fails to boot from the new solid-state drive. First best step in firmware?","Disable Secure Boot","Change the boot order to place the solid-state drive first or enable the controller","Clear the CMOS battery","Disable USB",2
"Users cannot boot from Universal Serial Bus media despite a valid installer. Likely firmware control to review?","USB permissions and boot device control","Fan curve profile","Audio codec","Display brightness",1
"You need to deploy full-disk encryption with keys bound to hardware. Which components work together?","Heat sink and fans","Trusted Platform Module with operating system encryption","Sound card and capture card","Liquid cooler and radiator",2
"A virtualization lab will run multiple virtual machines. Which settings must be enabled?","Secure Boot only","CPU virtualization extensions in firmware and adequate multicore processors","Disable PCI Express","Set USB to charge only",2
"A high-density server requires two physical processors. Which motherboard feature is required?","ITX form factor","Multisocket support","Legacy PCI only","Mobile chipset",2
"How does Unified Extensible Firmware Interface (UEFI) compare to legacy BIOS?","Identical feature set","UEFI replaces legacy BIOS with a modern firmware interface (GPT support, Secure Boot, rich boot options)","UEFI is an operating system","UEFI removes all boot options",2
"What are motherboard 'front-panel headers' used for?","Connecting GPUs","Wiring the case switches/LEDs (power switch, reset, HDD LED, power LED) and sometimes speaker","Attaching SATA power","Mounting the heat sink",2
"When applying a heat sink, what does thermal paste/Pad actually do?","Acts as thermal insulator","Fills microscopic gaps to improve heat transfer between CPU and heat sink","Secures the CPU mechanically","Increases fan speed",2
