Q,Option1,Option2,Option3,Option4,Correct
A financial company needs to comply with laws such as GDPR and HIPAA. What type of data are they most likely handling,Trade secret,Regulated,Confidential,Public,2
An employee exports proprietary formula documents to a personal drive without approval. What type of data is at risk,Trade secret,Public,Restricted,Legal,1
An organization applies for a patent to protect its unique software algorithm. What kind of data is involved,Legal information,Intellectual property,Confidential,Financial information,2
During an audit, a law firm secures its contracts and case files. What type of data are they protecting,Financial,Trade secret,Legal information,Restricted,3
Which scenario best describes the handling of financial information,Encrypting company credit card transactions,Storing legal case files in a database,Classifying a patent as intellectual property,Masking user names in training data,1
A system processes machine-generated logs in binary format. What kind of data is this,Human-readable,Trade secret,Non-human-readable,Confidential,3
Which classification should be applied to internal emails containing employee health details,Sensitive,Public,Critical,Obfuscation,1
What classification would apply to product marketing brochures published on a website,Restricted,Confidential,Critical,Public,4
An executive report contains infrastructure vulnerabilities and passwords. What is the best classification for this file,Public,Private,Confidential,Critical,4
Why would a company label backup configurations of their power grid as critical,They are shared publicly,They are needed for system functionality,They can be reused easily,They reduce costs,2
Which data state is most vulnerable to physical theft without encryption,Data in use,Data in transit,Data at rest,Data offsite,3
Which scenario best describes data in use,Reading financial data from a database,Encrypting stored data,Transmitting data over VPN,Backing up data to the cloud,1
Which activity best describes data in transit,Exporting logs to a cloud dashboard,Hashing a stored password,Encrypting an offline file,Running a script on a local file,1
An organization is fined because data stored in Europe was copied to US servers. What concept does this violate,Geolocation,Data sovereignty,Segmentation,Obfuscation,2
A system uses device GPS to enforce content access rules. What security measure is being applied,Obfuscation,Geographic restrictions,Data classification,Hashing,2
Which lab could test if local storage is properly encrypted before shutdown,Masking test,Obfuscation check,Encryption validation at rest,VPN routing test,3
Which tool is best for verifying that transmitted files have not been tampered with,Masking tool,Encryption algorithm,Hashing function,Token generator,3
Which scenario best illustrates data masking,Replacing employee names in a test database with dummy values,Encrypting files with a passphrase,Tokenizing card numbers in logs,Hashing stored passwords,1
How is tokenization used in a payment system,Encrypting a customer’s full name,Replacing card numbers with reference tokens,Obscuring address details with random values,Dividing network into secure zones,2
Why might a company obfuscate source code before releasing software,To remove vulnerabilities,To reduce file size,To make reverse engineering more difficult,To optimize speed,3
Which scenario demonstrates segmentation,Separating accounting and HR systems onto different network VLANs,Encrypting email messages,Tokenizing phone numbers in a database,Hashing passwords before storage,1
In a file server environment, what restricts a user's ability to view specific documents,Segmentation,Permission restrictions,Hashing,Data masking,2
