Q,Option1,Option2,Option3,Option4,Correct
"Which protocol type is EIGRP?","Advanced distance‑vector (hybrid) interior gateway protocol","Link‑state exterior gateway protocol","Path‑vector exterior protocol","Static routing protocol",1
"In the presence of two routes to 10.1.0.0/16 and 10.1.2.0/24, which will a router prefer?","10.1.2.0/24 because it is the longest prefix match","10.1.0.0/16 because it has more addresses","It will load‑balance evenly without other info","It will drop the traffic",1
"If both a static route and a dynamic OSPF route exist for the same prefix, what is generally preferred?","The static route (lower administrative distance)","The OSPF route (link‑state is preferred)","Whichever route was learned first","Whichever route has the highest metric",1
"Which scenario justifies using static routing?","A small branch office with a single uplink and stable paths","A service provider core with frequent path changes","A multi‑homed edge advertising many prefixes","A large campus with frequent topology changes",1
"Which scenario best fits OSPF or EIGRP?","A medium‑to‑large enterprise with multiple subnets and redundant paths","A tiny lab with one router","A home network with only wireless clients","A single routed host",1
"Which scenario best fits Border Gateway Protocol (BGP)?","An organization multi‑homed to multiple internet service providers that needs policy‑based route control","A small branch with one uplink","A single campus with no external links","A simple hub‑and‑spoke VPN",1
"What is a common effect of Port Address Translation on outbound connections?","Many internal hosts can share a single public IPv4 address using different source ports","Each internal host must have a unique public address","Packets cannot traverse stateful firewalls","It disables default routes",1
"What happens to hosts if the active gateway in an FHRP group fails?","A standby router assumes the Virtual IP and traffic continues with minimal disruption","All hosts lose connectivity until Dynamic Host Configuration Protocol reassigns addresses","Each host must switch to Automatic Private IP Addressing","Traffic is rerouted through the internet by default",1
"Which statement about administrative distance is accurate?","It is used to choose between different route sources for the same destination; lower values are preferred","It is the number of routers a packet crosses","It is the OSPF area number","It is the BGP autonomous system number",1
"Which describes route metrics correctly?","Metrics compare multiple routes learned by the same protocol; the lowest metric is preferred","Metrics are only used for static routes","Higher metrics are always preferred","Metrics are used only by exterior protocols",1
"Which of the following is most closely associated with policy‑driven routing between organizations on the internet?","Border Gateway Protocol (BGP)","Open Shortest Path First (OSPF)","Enhanced Interior Gateway Routing Protocol (EIGRP)","Static routes",1
"Which feature most directly reduces a single point of failure at the default gateway?","First Hop Redundancy Protocol (FHRP) with a Virtual IP","Using only static routes","Network Address Translation without ports","Port Address Translation on every interface",1
"Which statement about subinterfaces is true?","They allow one physical interface to participate in multiple Layer 3 networks by tagging and routing traffic separately","They are separate physical copper ports","They are used only for First Hop Redundancy Protocols","They replace the need for routing protocols entirely",1
"Which outcome results from longest‑prefix matching in routing tables?","The most specific route to a destination network is chosen","The route with the lowest metric is always chosen first","The route learned earliest is chosen","The route with the fewest hops is chosen first",1
"A network has two equal‑cost OSPF paths to a destination. What is a likely behavior?","Load‑balancing across the equal‑cost paths (per‑flow or per‑packet depending on platform)","Preference for the path learned first","Preference for the path with the higher interface number","Automatic failover to static routing",1
"A company with private addressing needs outbound internet access using one public IP. Which feature fits?","Port Address Translation (many‑to‑one)","Static one‑to‑one Network Address Translation for each host","Open Shortest Path First redistribution","First Hop Redundancy Protocol group",1
"A campus core has multiple distribution uplinks that may fail. Which technique keeps the default gateway reachable for end‑users without reconfiguring clients?","First Hop Redundancy Protocol with a Virtual IP","Manual changes to client default gateways","Static routes on every client host","Port Address Translation on the core",1
"A router must route traffic between three virtual LANs using a single physical interface. What should be configured?","Multiple subinterfaces on that physical interface","A static route to each host","An exterior gateway protocol","Only Port Address Translation",1
