Q,Option1,Option2,Option3,Option4,Correct
How do information security policies differ from disaster recovery policies,Disaster recovery is proactive while information security is reactive,Information security focuses on normal operations while disaster recovery focuses on restoration after incidents,Information security is only for physical threats while disaster recovery is only for software bugs,Disaster recovery is an optional part of information security,2
How does incident response policy relate to software development lifecycle policy,Incident response guides product upgrades while lifecycle policy determines network traffic,Incident response outlines patch frequency while lifecycle policy defines helpdesk roles,Lifecycle policy is part of secure development while incident response addresses live threats,Lifecycle policy handles training while incident response sets personnel pay grades,3
How does change management policy relate to change management procedures,Policy outlines the strategic intent while procedures define specific tasks,Procedure sets the password rules while policy describes termination protocols,Procedure is external while policy is internal,Policy is rarely reviewed while procedures are reviewed weekly,1
How does a password standard differ from a password policy,A password policy is broader and includes behavior guidelines,Password standard applies only to executives,Password policy focuses on hardware while standard covers software,Password standard is informal while policy is mandatory,1
What is a key distinction between access control standards and encryption standards,Access control secures data in transit while encryption manages database backups,Encryption limits physical access while access control defines remote login tools,Access control regulates permissions while encryption ensures data confidentiality,Encryption builds user roles while access control creates passwords,3
How do physical security standards differ from encryption standards,Encryption secures doors while physical security locks data,Physical security limits facility access while encryption protects data integrity,Physical security applies to firewalls while encryption applies to windows updates,Encryption affects lighting while physical security applies to system uptime,2
What distinguishes onboarding procedures from playbooks in security governance,Onboarding is reactive while playbooks are proactive,Playbooks outline incident handling while onboarding sets access for new users,Onboarding includes audits while playbooks ensure printer usage,Playbooks define benefits while onboarding tracks document retention,2
How does regulatory compliance differ from industry best practices in governance,Regulatory rules are mandatory by law while industry practices are voluntary,Industry practices always override regulatory rules,Industry practices apply only to nonprofits while regulatory rules govern for-profits,Regulatory rules cover software only while industry practices cover hardware,1
What is the difference between legal and national external considerations,Legal focuses on geographic borders while national defines company culture,Legal applies to laws and court rulings while national defines country-wide policies and frameworks,National is internal to companies while legal is external,Legal defines budgets while national defines hiring standards,2
How do local and global considerations differ in security governance,Local focuses on international privacy laws while global deals with regional taxes,Local relates to area-specific regulations while global concerns universal standards,Global is optional while local is required,Global considerations are defined by internal auditors while local is controlled by firewalls,2
How does monitoring and revision improve governance compared to one-time policy enforcement,It allows scheduled software updates,It ensures continuous improvement by reviewing effectiveness and making changes,It documents system password reuse,It guarantees encryption across all subnets,2
What distinguishes centralized governance structures from decentralized ones,Centralized distributes decisions across teams while decentralized centralizes all authority,Centralized gives equal control to all users while decentralized limits access to executives,Centralized uses single authority for decisions while decentralized spreads control across multiple units,Centralized is used only by startups while decentralized is limited to governments,3
How do governance boards differ from committees in a cybersecurity context,Committees lead organizations while boards monitor network traffic,Boards provide strategic direction while committees focus on specific domains or actions,Boards operate encryption systems while committees approve router updates,Committees audit national policies while boards manage password complexity,2
How do owners differ from custodians in system and data governance,Owners handle technical maintenance while custodians make legal decisions,Custodians make policy while owners remove encryption,Owners are responsible for decisions regarding data use while custodians maintain and protect the data,Custodians oversee audits while owners manage infrastructure cooling,3
What is the distinction between controllers and processors of data,Processors decide how to use data while controllers apply technical patches,Controllers direct data use while processors handle data operations based on those directions,Processors own the data while controllers store it,Controllers encrypt data while processors reset passwords,2
A security analyst is writing a general document to guide staff behavior during data access reviews. What type of governance element are they most likely creating,Procedure,Guideline,Policy,Standard,2
You are reviewing a document that outlines acceptable employee internet usage. What category of policy does this fall under,Incident response,Business continuity,Acceptable use,Encryption,3
An organization has a policy for continuing operations during power outages. What does this describe,Change management,Information security,Business continuity,Access control,3
Your team is updating the steps to restore critical systems after a ransomware attack. What document are they modifying,Disaster recovery policy,Acceptable use policy,Monitoring guideline,Encryption standard,1
After a breach, the security manager activates a documented response plan. What policy is being used,Incident response,Software development lifecycle,Regulatory compliance,Monitoring revision,1
You are designing a secure mobile app and must follow internal development policies. What governance element are you referencing,Encryption standards,Software development lifecycle policy,Incident response plan,Custodian roles,2
A change to firewall rules requires approval and documentation. Which policy is most relevant,Access control,Monitoring and revision,Change management,Disaster recovery,3
An administrator sets complexity rules for user login credentials. What standard is being applied,Encryption,Access control,Password,Policy enforcement,3
A facility requires badge entry and camera surveillance. What standard supports this requirement,Password,Encryption,Physical security,Onboarding,3
To comply with encryption requirements, an admin ensures full disk encryption on laptops. What is being followed,Access control policy,Encryption standard,Incident response procedure,Software development lifecycle,2
A project lead submits a form to document planned infrastructure changes. What procedure does this represent,Onboarding,Playbook,Change management,Legal compliance,3
A new employee is added to directory services and assigned default roles. What governance element is applied,Policy review,Onboarding procedure,Access control standard,Encryption key,2
Your team consults a step-by-step guide to handle a phishing incident. What is this document type,Playbook,Policy,Guideline,Monitoring log,1
You are ensuring systems follow data retention laws based on local government rules. What external consideration are you managing,Global,National,Regulatory,Password reuse,3
Legal review requires your cloud storage to comply with data privacy statutes. What type of governance driver is this,Industry,Legal,Monitoring,Policy,2
A security team aligns password length with peer-reviewed industry benchmarks. What external force are they applying,Global,Legal,Industry,National,3
Your team adjusts controls to comply with rules in multiple US states. Which category does this fall under,Global,National,Local or regional,Encryption,3
An international company must adapt policies to meet privacy laws across continents. What consideration is this,Industry,Global,Onboarding,Regulatory,2
Quarterly audits lead to adjustments in change procedures. What governance activity is being demonstrated,Encryption enforcement,Monitoring and revision,Physical security,Chain of custody,2
Your organization has a top-level group that sets policy across all divisions. What governance structure does this reflect,Decentralized,Government entity,Board,Committee,3
A team of domain experts meets monthly to revise security baselines. What governance structure is in use,Government entity,Committee,Board,Custodian group,2
A federal agency issues mandatory compliance requirements to private firms. What governance type does this represent,Committee,Government entity,Decentralized board,Industry partner,2
A multinational firm gives security autonomy to each regional office. What governance structure does this reflect,Centralized,Board,Policy-based,Decentralized,4
A director defines who can approve software purchases and change controls. What role are they performing,Processor,Custodian,Owner,Committee chair,3
A compliance officer ensures user data is handled according to privacy laws but does not set policy. What role is this,Processor,Owner,Board member,Custodian,1
An IT specialist monitors backups and restores access when needed but does not set rules. What role does this describe,Controller,Owner,Processor,Custodian,4
