Q,Option1,Option2,Option3,Option4,Correct
An employee selects a vendor in which they secretly hold stock. What risk does this represent,Supply chain error,Due diligence failure,Conflict of interest,Independent assessment,3
A customer requires a written document that defines the uptime guarantees and responsibilities of a cloud service provider. Which agreement is most appropriate,Non-disclosure agreement,Memorandum of agreement,Service-level agreement,Business partners agreement,3
Your organization and a partner agree to joint ownership of a system and outline responsibilities in a legally binding document. Which document is this,Business partners agreement,Memorandum of understanding,Rules of engagement,Work order,1
Two parties agree on shared goals in an informal but documented way without creating binding terms. What is this agreement type,Service-level agreement,Memorandum of understanding,Master service agreement,Statement of work,2
A vendor signs an agreement that governs all future projects with your company. What agreement defines these high-level terms,Work order,Service-level agreement,Master service agreement,Business partners agreement,3
Your project manager issues a document describing tasks, timelines, and deliverables for a contracted developer. Which document is this,Statement of work,Non-disclosure agreement,Memorandum of agreement,Independent assessment,1
Your legal team drafts a document to ensure that contractors cannot share trade secrets. What type of agreement is this,Business partners agreement,Right-to-audit clause,Non-disclosure agreement,Statement of work,3
Two companies define legal obligations and expectations for shared systems access and data handling. Which agreement best fits this use,Business partners agreement,Work order,Due diligence report,Memorandum of understanding,1
A security team regularly checks a vendor's system logs and updates for compliance issues. What practice does this represent,Conflict of interest,Vulnerability scanning,Vendor monitoring,Penetration testing,3
To evaluate a vendor’s security posture, your team sends out a detailed form for completion. What is this called,Vendor audit,Memorandum of agreement,Rules of engagement,Questionnaire,4
You plan a penetration test and want to define which systems are in scope and how testers should interact. What document do you need,Work order,Rules of engagement,Service-level agreement,Memorandum of understanding,2
