Q,Option1,Option2,Option3,Option4,Correct
What is a difference between static code analysis and sandboxing,Static code analysis reviews source code without running it, while sandboxing runs code in isolated environments,Static code analysis only works for mobile apps,Sandboxing compiles code,Static code analysis runs the app,1
How does code signing relate to authentication protocols,Both encrypt files,Code signing proves authenticity and integrity of software, while authentication protocols verify user identity,Both verify software only,Authentication protocols sign apps,2
How is sandboxing different from traditional monitoring,Sandboxing isolates code for testing while monitoring observes real-time behavior,Sandboxing sends alerts,Monitoring encrypts logs,Sandboxing runs live code on production,1
How does monitoring enhance hardening techniques,Monitoring identifies abnormal activity to complement prevention methods,Monitoring disables services,Monitoring replaces firewalls,Monitoring upgrades devices automatically,1
A company wants to ensure all laptops are configured with encryption and antivirus before distribution. What phase of secure baseline does this represent,Deploy,Establish,Maintain,Audit,2
You are assigned to verify monthly that systems meet security settings like password length and patch level. What secure baseline phase is this,Deploy,Test,Maintain,Patch,3
A technician uses an approved gold image to roll out new devices. What phase of securing the baseline is this,Maintain,Deploy,Scan,Remove,2
A security analyst needs to lock down a newly issued tablet to prevent unapproved apps from being installed. What type of device is being hardened,Router,Mobile device,Cloud appliance,Server,2
An IT admin applies security policies to all office workstations to disable unused ports and enforce screen locks. What is this an example of,Mobile device hardening,Workstation hardening,Cloud infrastructure policy,Router security,2
A technician disables unused ports and changes default credentials on a new switch. What kind of hardening is being applied,Server,Router,Switch,Workstation,3
Which device would most likely be hardened by updating firmware and disabling unused management protocols,Router,Mobile phone,Server,Desktop,1
A cloud architect sets up a shared responsibility model and enforces multi-factor authentication for admin access. What is this securing,Workstation,Cloud infrastructure,Switch,IoT device,2
You need to apply patch management and antivirus settings to a system running email services. What kind of target is this,Mobile device,ICS SCADA,Server,Router,3
A technician must apply security updates to industrial control systems without disrupting factory operations. What hardening target is this,Server,Mobile phone,ICS SCADA,Router,3
You are securing a smart thermostat used in a remote office. Which device type is being hardened,RTOS,IoT device,Router,Firewall,2
An engineer needs to disable vulnerable services on a system that controls robotic arms in a manufacturing plant. What is the best description of the target,Embedded system,Switch,VPN,Proxy,1
A device is used for real-time automation and cannot tolerate delays. What operating system is likely in use,Embedded Linux,SCADA,RTOS,BYOD,3
You must apply security patches to a large number of smart lighting devices. Which target are you hardening,RTOS,IoT devices,Mobile phones,Firewalls,2
A network technician walks the office with a tablet measuring signal overlap and interference before deploying wireless access points. What is this process,Heat mapping,Site survey,Authentication check,Channel scan,2
You are using a tool to generate a visual display of wireless coverage to optimize access point placement. What are you performing,Signal scanning,RF isolation,Heat map analysis,Device enumeration,3
You are configuring policy enforcement and app control on all mobile phones issued to staff. What technology are you using,Remote desktop,Mobile device management,Proxy routing,Content filter,2
A company provides phones to employees but allows limited personal use. What deployment model is in place,BYOD,CYOD,COPE,Guest,3
Employees select from a list of pre-approved phones that the company then configures and manages. What model is this,COPE,BYOD,CYOD,Hybrid,3
An employee connects to a mobile hotspot while traveling. What connection method is being used,Bluetooth,Wi-Fi,Cellular,Satellite,3
A smartwatch syncs with a smartphone nearby to display notifications. What connection method is used,Bluetooth,Wi-Fi,NFC,Satellite,1
A network administrator configures a new wireless network with enhanced protection against brute force attacks and forward secrecy. Which wireless security setting is most relevant,WPA2,WPA3,WEP,VPN,2
A company wants to enforce centralized authentication for wireless users. Which protocol setup is most appropriate,RADIUS,SNMP,TCP,SMTP,1
A team is securing data in transit between mobile devices and internal servers. Which cryptographic mechanism supports confidentiality and integrity,MAC,Hashing,Encryption,Tokenization,3
A web application validates that all user input is properly formatted and does not contain executable content. What principle is being applied,Input validation,Cookies,Encryption,Obfuscation,1
To ensure sessions are not hijacked, a developer stores session tokens with the secure flag enabled in the browser. What technique is this,Static analysis,Tokenization,Secure cookies,Obfuscation,3
A security team runs an analysis tool to detect flaws in the source code without executing the application. What technique is this,Sandboxing,Code signing,Static code analysis,Encryption,3
A software vendor signs their application to prove it was not modified. What method is being used,Tokenization,Obfuscation,Code signing,Monitoring,3
A developer executes a new application in a restricted environment to observe its behavior before deployment. What is this called,Sandboxing,Encryption,Hashing,Deployment,1
A system administrator sets up alerts and logging for unauthorized access attempts across servers. What is this process,Patch management,Decommissioning,Monitoring,3
